"","ea","mi","english","work"
"2",4,2000,3,1
"3",2,0,2,8
"5",10,2000,2,1
"8",11,5000,4,1
"9",4,900,3.5,1
"11",10,3000,4,1
"17",10,600,2.5,1
"18",11,4900,4,1
"19",11,3500,3,1
"21",4,0,4,7
"23",10,1200,4,1
"26",7,1600,2.5,1
"31",9,4000,4,1
"33",9,1400,2.5,1
"34",9,1800,2,1
"36",6,2000,4,1
"37",9,1500,3,1
"38",8,600,4,2
"39",9,1000,3,1
"46",5,700,4,1
"47",12,12000,4,1
"49",4,0,1.5,8
"50",10,1700,3.25,1
"52",7,1000,3,1
"53",12,0,4,7
"61",10,10000,4,1
"62",4,2000,4,1
"66",4,1000,4,1
"67",10,5000,4,1
"68",3,0,2,8
"69",9,3000,4,1
"70",4,0,2,3
"72",4,4000,3,1
"73",9,0,4,8
"74",9,3400,4,1
"75",6,0,4,7
"78",8,1500,2,1
"79",2,800,1,1
"80",1,0,2,4
"81",2,1400,2,2
"82",4,1226,2,2
"86",7,0,2,7
"95",5,0,1,8
"96",2,1700,2.25,2
"98",3,1000,3,1
"99",10,1400,4,1
"100",4,1600,4,1
"101",11,2000,4,1
"103",3,0,2.5,8
"106",3,500,1.5,1
"107",11,3000,4,1
"108",1,0,1.5,8
"109",9,4000,4,1
"111",10,3500,3.5,2
"112",2,1200,2,2
"115",12,7250,4,1
"116",9,2500,3,1
"119",4,800,4,1
"124",3,0,4,3
"125",10,2000,4,1
"132",6,0,1.75,8
"139",9,2000,4,1
"141",4,1200,3,1
"143",9,0,1.75,3
"148",7,800,3,1
"150",9,4500,4,1
"152",11,12000,4,1
"153",4,0,3.25,9
"154",7,1300,3.5,1
"155",2,0,3.5,8
"157",10,300,3.25,1
"159",4,1100,3,1
"161",8,1200,2.75,1
"162",3,700,4,1
"163",4,1400,4,1
"167",8,0,4,8
"169",4,0,2,8
"172",7,1500,1.5,1
"173",2,0,2,3
"174",10,2000,2.75,1
"176",9,1200,2,1
"181",3,720,2,2
"182",2,0,2.25,8
"183",2,2400,2.75,1
"184",8,0,4,8
"193",3,700,2,1
"195",2,400,1.5,2
"197",10,0,3,3
"199",3,850,4,1
"202",5,2000,3,1
"203",4,2800,4,1
"205",10,4000,3,1
"206",10,4000,3.75,1
"207",1,0,1,4
"210",10,10000,4,1
"212",11,10000,4,2
"214",10,11000,4,1
"215",10,1400,4,1
"216",10,20000,4,1
"217",5,0,3,8
"222",2,500,1.5,1
"223",4,1200,4,1
"224",7,900,4,1
"229",2,0,1,7
"234",6,384,4,2
"237",4,400,4,2
"238",6,1200,3,1
"241",2,0,4,3
"242",3,2000,2.75,1
"245",10,0,3,3
"246",9,2047,4,1
"250",7,3500,4,1
"251",5,0,3,3
"255",3,600,2.25,2
"258",10,0,4,6
"259",8,3000,3,1
"261",2,0,2,3
"262",2,1200,3,1
"263",2,700,2,1
"265",2,0,2.25,8
"266",6,1200,3,2
"267",6,1000,4,1
"269",3,0,2,6
"275",2,2000,3.25,1
"276",7,1200,2.5,1
"280",2,900,2.25,1
"283",10,2700,4,1
"285",10,2000,3,1
"287",11,8250,4,1
"288",10,2500,3,1
"292",10,1200,2.25,1
"294",4,0,1.5,3
"296",3,900,2.75,1
"299",4,1200,4,1
