"","ea","mi","english","work","no"
"1",1,1200,2,2,31
"2",9,4000,3.75,1,31
"3",2,800,2,2,31
"4",3,2600,3,1,31
"5",8,0,2.5,7,31
"6",3,1500,3,2,31
"7",1,3500,1.75,1,31
"8",3,4000,3.5,1,31
"9",3,0,2,8,31
"10",7,4000,3,1,31
"11",1,600,1.5,2,31
"12",2,0,2.25,8,31
"13",2,1200,2,1,31
"14",1,0,1,8,31
"15",3,500,2,2,31
"16",3,2800,3,1,31
"17",1,1300,1.5,2,31
"18",8,0,3.5,8,31
"19",3,2500,3,1,31
"20",8,3500,3,1,31
"21",2,0,2,8,31
"22",7,4500,3,1,31
"23",6,0,2.75,7,31
"24",3,6500,3,1,31
"25",9,4200,3,1,31
"26",6,5800,3,1,31
"27",2,6000,3,1,31
"28",3,1600,2.75,1,31
"29",2,0,2,7,31
"30",2,0,1.25,6,31
"31",2,4000,3,1,31
"32",2,0,2,7,31
"33",7,0,1.5,3,31
"34",1,1200,2,1,31
"35",2,2000,3,1,31
"36",2,1100,2.5,2,31
"37",2,1000,2.75,1,31
"38",3,7000,3,1,31
"39",3,1500,2.75,1,31
"40",1,0,3,4,31
"41",5,0,3,3,31
"42",8,2400,3,1,31
"43",7,3500,3,1,31
"44",8,3500,3,1,31
"45",3,1000,3,1,31
"46",1,1200,2,1,31
"47",1,0,1.5,6,31
"48",8,5500,3.5,1,31
"49",9,0,3,8,31
"50",3,2100,3,1,31
"51",2,3000,3,1,31
"52",1,1300,2,2,31
"53",1,0,1,8,31
"54",1,1700,1.5,2,31
"55",1,0,1,8,31
"56",5,0,2.5,7,31
"57",1,0,2,7,31
"58",1,0,2,8,31
"59",1,270,2,2,31
"60",1,0,1.5,8,31
"61",8,0,2.5,7,31
"62",9,0,3,8,31
"63",3,3000,2.5,1,31
"64",6,0,2.75,7,31
"65",1,0,1,8,31
"66",2,0,3,3,31
"67",2,0,2.5,8,31
"68",9,4500,3,2,31
"69",1,0,1.5,7,31
"70",6,2500,3,1,31
"71",1,0,1.75,4,31
"72",1,0,2,6,31
"73",1,0,2.75,7,31
"74",1,0,2.75,8,31
"75",2,2000,2,1,31
"76",3,0,2.5,3,31
"77",3,4000,3,1,31
"78",1,0,1.5,8,31
"79",1,0,1.5,7,31
"80",2,0,3,8,31
"81",1,0,2.75,7,31
"82",2,3000,2.5,1,31
"83",9,5000,4,1,31
"84",1,0,1.5,7,31
"85",3,0,2,7,31
"86",3,0,2,4,31
"87",8,3000,3,1,31
"88",1,1200,1.5,2,31
"89",3,3200,3,1,31
