,ParentsScore,ParentSpeak,ParentUnderstand,ParentRead,ParentWrite,Highest_academic_years,curJobScore,non_English_understandability,English_speakability,English_understandability,English_readability,English_writability,most spoken language,race,race identity importance,felt_discrimination,visits to parents country,lived in parents country,home country,caseid,Language_understandability
0, , , , , ,15,57,3,4,4,4,4,1,44,3,1,10,0,4,1,3.5
1,39,3,3,3,3,12, ,4,4,4,4,4,1,5,3,0,1,1,1,2,4.0
2, ,2,3,2,1,12,34,4,4,4,4,4,3,12,3,0,0, ,1,3,4.0
3, , , , , ,14, ,4,4,4,4,4,3,51,1,1,1,0,2,4,4.0
4,44,2,2,2,2,16,51,4,4,4,4,4,3,15,2,1,1,0,3,5,4.0
5, , , , , ,14,54,4,4,4,4,4,1,12, ,0, ,0,1,6,4.0
6, , , , , ,14,42,3,3,4,4,4,1,12,3,0,3, ,1,7,3.5
7,52,4,4,4,4,15, ,4,4,4,4,4,1,12,2,0,0,0,1,8,4.0
8,42,3,4,4,3,10,30,4,4,4,4, ,1,5,1,0,0, ,1,9,4.0
9, , , , , ,15,42,4,4,4,4,4,1,13,3,1,1,0,1,10,4.0
10,52,4,4,4,4,15,53,4,4,4,4, ,1,7,3,0,4,0,4,11,4.0
11, , , , , ,18, ,4,4,4,4,4,1,5,2,0,0,0,1,12,4.0
12, , , , , ,12,44,4,4,4,4,4,3,17,3,1,10,1,2,13,4.0
13, , , , , ,14, ,4,4,4,4,4,1,5,3,1,6,0,1,14,4.0
14, , , , , ,14,39,4,4,4,4, ,1,51,3,0,0, ,1,15,4.0
15, , , , , ,15, ,4,4,4,4, ,3,5,2,0,1,0,1,16,4.0
16,31,2,2,3,3,15,62,4,4,4,4, ,1,5,2,0,2,0,1,17,4.0
17,60,4,4,4,4,15,39,3,4,4,4,4,1,54,3,0,0, ,1,18,3.5
18,55,3,3,3,3,16, ,3,4,4,4, ,1,5,3,0,5,0,1,19,3.5
19, , , , , ,12,39,4,4,4,4,4,3,18,3,0,5,0,4,20,4.0
21, , , , , ,12, ,2,4,3,3,4,1,0,3,0,0, ,1,22,2.5
22,50,4,4,4,4,14,67,4,4,4,4, ,1,5,1,0,0, ,1,23,4.0
23, , , , , ,16,51,2,4,4,4,4,1,2,1,0, , , ,24,3.0
24, , , , , ,16,62,4,4,4,4,4,3,5,3,0,1,0,1,25,4.0
25,26,2,3,3,2,14,67,4,4,4,4,4,3,5,2,0,0, ,1,26,4.0
26, , , , , ,15,49,4,4,4,4,4,3,52,3,1,10,0,1,27,4.0
27, , , , , ,16,57,4,4,4,4, ,1,12,3,0,0, ,1,28,4.0
28, , , , , ,16,51,4,4,4,3,3,1,12,3,0,0,0,1,29,4.0
29, , , , , ,15,41,3,3,4,4,4,1,6,3,1,0, ,1,30,3.5
30,49,4,4,4,4,14,35,4,4,4,4,4,1,12,3, ,0,0,1,31,4.0
31, , , , , ,14,38,4,4,4,4,4,1,12,3,0,0,0,1,32,4.0
32, ,2,3,3,2,16,49,4,4,4,4, ,1,5,1,0,1,0,1,33,4.0
33,53,2,2,2,2,15,52,4,4,4,4,4,1,12,2,1,0, ,1,34,4.0
34,53,2,2,2,2,14,51,4,4,4,4,3,3,16,3,1,2,0,1,35,4.0
35,29,4,4,4,4,16,53,4,4,4,3,3,1,5,2,0,12,0,1,36,4.0
36,60,3,3,3,3,14,44,4,4,4,4, ,3,5,1,0,21,0,1,37,4.0
37, ,4,4,4,4,15,39,4,4,4,4,4,3,66,3,0,7,0,1,38,4.0
38,53,3,3,3,3,15,43,4,4,4,4, ,1,5,1,0,0, ,1,39,4.0
39, , , , , ,14, ,3,3,3,3,3,2,5,3,1,0,0,4,40,3.0
40, , , , , ,14,50,3,4,4,4, ,3,5,2,0,0, ,1,41,3.5
41, , , , , ,14,53,4,4,4,4, ,3,5,3,1,0, ,1,42,4.0
42,60,3,4,4,3,16, ,3,4,4,4,4,1,12,2,0,0, ,1,43,3.5
43,53,4,4,4,4,16,56,4,4,4,4, ,1,12,2,0,0, ,1,44,4.0
44, , , , , ,18, ,4,4,4,4,4,3,12,1,0, , ,1,45,4.0
45,29,4,4,4,4,16,49,4,4,4,4, ,2,52,3,1,1,0,1,46,4.0
47, , , , , ,10,45,4,4,4,4,4,3,11,3,1,0,0,4,48,4.0
48, ,2,2,1,1,15,45,4,4,4,4, ,1,0,2,1,0, ,1,49,4.0
49,52,3,3,4,3,14,45,4,4,4,4, ,1,5,3,0,0, ,1,50,4.0
50, , , , , ,18,51,4,4,4,4, ,1,12,2,0,1,0,1,51,4.0
51,34,3,3,3,3,14,38,3,4,4,4,2,1,5,2,0,1,0,1,52,3.5
52, ,4,4,4,4,14, ,4,4,4,4, ,3,61,3,0,0, ,1,53,4.0
53, , , , , ,14,53,4,4,4,4,4,1,11,3,1,1,0,4,54,4.0
54, , , , , ,14,40,4,4,4,4, ,1,5,3,0,0, ,1,55,4.0
55,42,4,4,4,4,14,66,4,4,4,4, ,3,12,2,1,0, ,1,56,4.0
56, , , , , ,12,20,4,4,4,4,4,3,12,3,1,0,0,1,57,4.0
57, , , , , ,14,53,4,4,4,4,4,3,71,3,0,1,0,4,58,4.0
58, ,4,4,4,4,18, ,4,4,4,4,4,1,12,2,0,0,0,1,59,4.0
59, , , , , ,14,78,4,3,4,4,4,1,12,2,0,0, ,1,60,4.0
60,53,4,4,4,4,16,29,4,4,4,4,4,1,12,1,1,0, ,1,61,4.0
61,48,4,4,4,4,15, ,3,4,4,4,4,1,66,1,0,0, ,1,62,3.5
